Actions: [(5,), (6,), (1,), (2,), (4,), (3,), (5, 6), (5, 1), (5, 2), (5, 4), (5, 3), (6, 1), (6, 2), (6, 4), (6, 3), (1, 2), (1, 4), (1, 3), (2, 4), (2, 3), (4, 3)]
Episode 0 of 40000
         2505781 function calls (2451342 primitive calls) in 20.422 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 gamecontroller.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
       57    0.000    0.000    0.000    0.000 {built-in method ceil}
        2    0.000    0.000    0.001    0.001 surface.py:1(<module>)
      803    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
    72/12    0.000    0.000    0.004    0.000 core.py:4034(parseImpl)
      370    0.000    0.000    0.000    0.000 parameter.py:129(is_lazy)
       12    0.000    0.000    0.001    0.000 __init__.py:223(define_aliases)
        1    0.000    0.000    0.002    0.002 audio.py:1(<module>)
       26    0.000    0.000    0.001    0.000 _typing.py:341(hook_iterator)
        2    0.000    0.000    0.010    0.005 events.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method empty}
       53    0.000    0.000    0.002    0.000 __init__.py:919(read_text)
     62/9    0.000    0.000    0.004    0.000 core.py:3788(leave_whitespace)
       68    0.000    0.000    0.000    0.000 registration.py:383(<genexpr>)
       67    0.000    0.000    0.002    0.000 colors.py:1108(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _script.py:1(<module>)
      581    0.000    0.000    0.002    0.000 {built-in method builtins.next}
      196    0.000    0.000    0.000    0.000 typing.py:1272(_value_and_type_iter)
        1    0.000    0.000    0.011    0.011 _array_like.py:1(<module>)
       76    0.000    0.000    0.000    0.000 rcsetup.py:91(<listcomp>)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.001    0.001 pickletools.py:1(<module>)
      442    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
        2    0.000    0.000    0.008    0.004 shape_base.py:1(<module>)
      170    0.000    0.000    0.000    0.000 colors.py:677(__init__)
  306/282    0.000    0.000    0.000    0.000 results.py:171(__init__)
      554    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      448    0.000    0.000    0.000    0.000 colors.py:348(<genexpr>)
       44    0.000    0.000    0.000    0.000 registration.py:395(<genexpr>)
        1    0.000    0.000    0.037    0.037 linalg.py:1(<module>)
      370    0.000    0.000    0.000    0.000 overrides.py:1552(is_tensor_like)
      127    0.000    0.000    0.000    0.000 __init__.py:108(read)
        1    0.000    0.000    0.000    0.000 __init__.py:805(copy)
      116    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       35    0.000    0.000    0.000    0.000 numeric.py:136(ones)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
       17    0.000    0.000    0.004    0.000 typing.py:2267(__new__)
       43    0.000    0.000    0.002    0.000 typing.py:1208(__getitem_inner__)
       52    0.000    0.000    0.001    0.000 subprocess.py:1927(_wait)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:665(__init_subclass__)
      183    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
       39    0.000    0.000    0.001    0.000 contextlib.py:252(contextmanager)
      139    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 ExifTags.py:294(<dictcomp>)
      151    0.000    0.000    0.000    0.000 pathlib.py:608(_format_parsed_parts)
      900    0.000    0.000    0.000    0.000 inspect.py:3006(parameters)
      140    0.000    0.000    0.002    0.000 inspect.py:3014(replace)
       32    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
      276    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.010    0.010 _type_aliases.py:1(<module>)
       12    0.000    0.000    0.034    0.003 util.py:301(_findLib_ld)
       31    0.000    0.000    0.001    0.000 __init__.py:1315(getLogger)
        3    0.000    0.000    0.002    0.001 traceback.py:338(extract)
       84    0.000    0.000    0.001    0.000 __init__.py:244(make_alias)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
  214/116    0.000    0.000    0.002    0.000 core.py:1872(default_name)
       26    0.000    0.000    0.000    0.000 _sources.py:33(normalize_source_lines)
       15    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 distributed_c10d.py:1(<module>)
       53    0.000    0.000    0.001    0.000 __init__.py:934(_normalized_name)
        7    0.000    0.000    0.003    0.000 core.py:2810(__init__)
       58    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
        1    0.000    0.000    0.056    0.056 rcsetup.py:1(<module>)
        2    0.000    0.000    0.000    0.000 inspect.py:444(getmembers)
     1178    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        1    0.000    0.000    0.050    0.050 sdlimage.py:1(<module>)
       52    0.000    0.000    0.000    0.000 inspect.py:773(getfile)
      127    0.000    0.000    0.001    0.000 __init__.py:102(<genexpr>)
       26    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
       29    0.000    0.000    0.000    0.000 pathlib.py:438(_select_from)
       26    0.000    0.000    0.002    0.000 deprecation.py:416(make_keyword_only)
     30/4    0.000    0.000    0.001    0.000 core.py:3828(streamline)
      822    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      166    0.000    0.000    0.000    0.000 functools.py:844(register)
       35    0.000    0.000    0.003    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.008    0.008 _dtype_like.py:1(<module>)
       68    0.000    0.000    0.002    0.000 typing.py:1194(__getitem__)
       58    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       67    0.000    0.000    0.000    0.000 contextlib.py:496(callback)
       44    0.000    0.000    0.001    0.000 _base.py:66(__set_name__)
      302    0.000    0.000    0.001    0.000 typing.py:1234(<genexpr>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       52    0.000    0.000    0.006    0.000 typing.py:407(__getitem__)
       58    0.000    0.000    0.001    0.000 core.py:3110(parseImpl)
       24    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       68    0.000    0.000    0.000    0.000 pickletools.py:1124(__init__)
        1    0.000    0.000    0.001    0.001 joystick.py:1(<module>)
       24    0.000    0.000    0.001    0.000 dtypes.py:66(_add_dtype_helper)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       69    0.000    0.000    0.001    0.000 pathlib.py:615(_make_child)
       72    0.000    0.000    0.001    0.000 _tensor.py:688(__iter__)
       17    0.000    0.000    0.000    0.000 {method 'ne' of 'torch._C._TensorBase' objects}
     11/1    0.000    0.000    0.004    0.004 copy.py:227(_deepcopy_dict)
       55    0.000    0.000    0.009    0.000 _tensor_str.py:432(_str)
       44    0.000    0.000    0.001    0.000 registration.py:434(register)
       26    0.000    0.000    0.000    0.000 _jit_internal.py:980(_qualified_name)
      162    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
       48    0.000    0.000    0.002    0.000 typing.py:1083(copy_with)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.003    0.003 kl.py:1(<module>)
       56    0.000    0.000    0.000    0.000 inspect.py:290(_has_code_flag)
        2    0.000    0.000    0.016    0.008 quantization_mappings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 keycode.py:1(<module>)
        1    0.000    0.000    0.047    0.047 index_tricks.py:1(<module>)
       32    0.000    0.000    0.000    0.000 colors.py:497(<setcomp>)
        6    0.000    0.000    0.006    0.001 patches.py:2257(<listcomp>)
        6    0.000    0.000    0.000    0.000 {built-in method sum}
        3    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        1    0.000    0.000    0.001    0.001 __init__.py:982(<dictcomp>)
      132    0.000    0.000    0.001    0.000 subprocess.py:1791(<genexpr>)
        1    0.000    0.000    0.008    0.008 helpers.py:1(<module>)
   133/64    0.000    0.000    0.003    0.000 core.py:3883(<listcomp>)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
        1    0.000    0.000    0.002    0.002 api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
      302    0.000    0.000    0.001    0.000 _tensor_str.py:185(_val_formatter)
      843    0.000    0.000    0.000    0.000 inspect.py:2691(default)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
       30    0.000    0.000    0.001    0.000 grad_mode.py:20(__call__)
      115    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
      201    0.000    0.000    0.000    0.000 pathlib.py:239(splitroot)
      207    0.000    0.000    0.000    0.000 inspect.py:1867(_signature_get_user_defined_method)
        1    0.000    0.000    0.001    0.001 _tensor_docs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 text.py:80(Text)
       32    0.000    0.000    0.001    0.000 textwrap.py:422(dedent)
      791    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7f3fe7acbb50}
        7    0.000    0.000    0.000    0.000 {method 'new_zeros' of 'torch._C._TensorBase' objects}
  269/169    0.000    0.000    0.002    0.000 core.py:1899(name)
        3    0.000    0.000    0.001    0.000 random.py:1(<module>)
       44    0.000    0.000    0.002    0.000 _typing.py:255(__new__)
        1    0.000    0.000    0.000    0.000 pixels.py:1(<module>)
       20    0.000    0.000    0.019    0.001 _jit_internal.py:767(_overload)
       36    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      106    0.000    0.000    0.001    0.000 __init__.py:866(normalize)
        1    0.000    0.000    0.020    0.020 Image.py:1(<module>)
      267    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        2    0.000    0.000    0.000    0.000 traceback.py:405(format)
       12    0.000    0.000    0.000    0.000 os.py:620(get_exec_path)
       11    0.000    0.000    0.000    0.000 version.py:186(__init__)
       13    0.000    0.000    0.001    0.000 module.py:254(__init__)
       24    0.000    0.000    0.021    0.001 selectors.py:403(select)
       30    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 pickletools.py:2224(assure_pickle_consistency)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._dist_autograd_init}
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       69    0.000    0.000    0.000    0.000 inspect.py:1985(_signature_is_builtin)
       60    0.000    0.000    0.001    0.000 __init__.py:829(_open_file_or_url)
        1    0.000    0.000    0.000    0.000 TiffTags.py:420(_populate)
      103    0.000    0.000    0.001    0.000 _tensor_str.py:202(<listcomp>)
      166    0.000    0.000    0.000    0.000 typing.py:1330(<genexpr>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1814(Parser)
      480    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        1    0.000    0.000    0.007    0.007 common.py:8(pyparsing_common)
        5    0.000    0.000    0.006    0.001 conv.py:1(<module>)
        4    0.000    0.000    0.000    0.000 colors.py:1697(Norm)
      381    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
       85    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       12    0.000    0.000    0.026    0.002 _docstring.py:51(__missing__)
        1    0.000    0.000    0.003    0.003 axes3d.py:42(Axes3D)
       67    0.000    0.000    0.002    0.000 colors.py:1089(reversed)
      313    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      136    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       40    0.000    0.000    0.001    0.000 subprocess.py:1604(_get_handles)
      312    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       18    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       44    0.000    0.000    0.001    0.000 _base.py:51(__init__)
      162    0.000    0.000    0.000    0.000 typing.py:1053(<genexpr>)
      154    0.000    0.000    0.000    0.000 core.py:790(preParse)
       17    0.000    0.000    0.000    0.000 {method 'min' of 'torch._C._TensorBase' objects}
       33    0.000    0.000    0.000    0.000 core.py:3043(__init__)
       58    0.000    0.000    0.000    0.000 enum.py:82(__init__)
      315    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       23    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
       14    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
       43    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
       31    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        2    0.000    0.000    0.003    0.001 fake_quantize.py:1(<module>)
      136    0.000    0.000    0.000    0.000 typing_extensions.py:149(_check_generic)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
       31    0.000    0.000    0.001    0.000 __init__.py:2071(getLogger)
       20    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
      314    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       28    0.000    0.000    0.001    0.000 util.py:328(_findLib_prefix)
       66    0.000    0.000    0.002    0.000 core.py:1410(__add__)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.049    0.049 registration.py:1(<module>)
       88    0.000    0.000    0.000    0.000 registration.py:66(parse_env_id)
      183    0.000    0.000    0.000    0.000 textwrap.py:485(prefixed_lines)
       42    0.000    0.000    0.000    0.000 core.py:2438(__init__)
        8    0.000    0.000    0.057    0.007 linear.py:1(<module>)
      538    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
       80    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
       26    0.000    0.000    0.000    0.000 {built-in method torch._C.call_stack}
       17    0.000    0.000    0.003    0.000 typing.py:2247(_make_nmtuple)
        9    0.000    0.000    0.000    0.000 typing.py:1549(__init_subclass__)
      375    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:525(mean)
      271    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 spectral_norm.py:10(SpectralNorm)
      127    0.000    0.000    0.001    0.000 __init__.py:381(<genexpr>)
      168    0.000    0.000    0.002    0.000 traceback.py:301(line)
        1    0.000    0.000    0.000    0.000 axis.py:596(Axis)
       54    0.000    0.000    0.004    0.000 _itertools.py:4(unique_everseen)
      407    0.000    0.000    0.000    0.000 module.py:1382(<dictcomp>)
       51    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.003    0.003 core.py:394(ParserElement)
       64    0.000    0.000    0.001    0.000 typing.py:664(__init__)
       37    0.000    0.000    0.000    0.000 transforms.py:1324(__init_subclass__)
        1    0.000    0.000    0.002    0.002 twodim_base.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        3    0.000    0.000    0.000    0.000 dll.py:143(_finds_libs_at_path)
        1    0.000    0.000    0.000    0.000 return_types.py:1(<module>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       55    0.000    0.000    0.000    0.000 _tensor_str.py:267(_add_suffixes)
       35    0.000    0.000    0.000    0.000 __init__.py:50(modules_filter)
   120/36    0.000    0.000    0.000    0.000 module.py:1668(named_modules)
        1    0.000    0.000    0.000    0.000 bezier.py:181(BezierSegment)
       18    0.000    0.000    0.003    0.000 rcsetup.py:662(cycler)
       74    0.000    0.000    0.000    0.000 _collections.py:28(parse)
      180    0.000    0.000    0.000    0.000 __init__.py:293(<genexpr>)
       74    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
      144    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      137    0.000    0.000    0.000    0.000 core.py:1745(set_whitespace_chars)
       96    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
        8    0.000    0.000    0.002    0.000 dataclasses.py:527(_init_fn)
      142    0.000    0.000    0.000    0.000 copy.py:243(_keep_alive)
        1    0.000    0.000    0.001    0.001 rwops.py:1(<module>)
       11    0.000    0.000    0.000    0.000 tokenize.py:390(open)
       55    0.000    0.000    0.000    0.000 typing.py:722(__init__)
       28    0.000    0.000    0.001    0.000 subprocess.py:1037(__exit__)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      316    0.000    0.000    0.000    0.000 rcsetup.py:878(_convert_validator_spec)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f404a1b2f80}
        1    0.000    0.000    0.003    0.003 _mathtext.py:1(<module>)
        1    0.000    0.000    0.001    0.001 record_video.py:1(<module>)
      472    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       65    0.000    0.000    0.000    0.000 results.py:442(__iadd__)
       62    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        1    0.000    0.000    0.000    0.000 types.py:35(Storage)
       10    0.000    0.000    0.005    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        1    0.000    0.000    0.001    0.001 _base.py:542(_AxesBase)
        1    0.000    0.000    0.005    0.005 font_manager.py:1(<module>)
       53    0.000    0.000    0.001    0.000 __init__.py:379(_from_text_for)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
       41    0.000    0.000    0.003    0.000 linecache.py:80(updatecache)
      103    0.000    0.000    0.000    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.004    0.002 transforms.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.046    0.046 model.py:10(__init__)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:155(MarkerStyle)
        1    0.000    0.000    0.000    0.000 colors.py:78(<dictcomp>)
        1    0.000    0.000    0.002    0.002 tz.py:1(<module>)
       52    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
      227    0.000    0.000    0.000    0.000 {method '__format__' of 'int' objects}
       68    0.000    0.000    0.001    0.000 pathlib.py:589(_from_parts)
      122    0.000    0.000    0.037    0.000 re.py:249(compile)
        1    0.000    0.000    0.001    0.001 haptic.py:1(<module>)
       13    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
       13    0.000    0.000    0.006    0.000 enum.py:536(_convert_)
       90    0.000    0.000    0.000    0.000 module.py:1621(named_children)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1345(<dictcomp>)
       98    0.000    0.000    0.001    0.000 shutil.py:1434(_access_check)
       43    0.000    0.000    0.000    0.000 warnings.py:477(__exit__)
       47    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      166    0.000    0.000    0.000    0.000 functools.py:841(_is_valid_dispatch_type)
       19    0.000    0.000    0.000    0.000 path.py:99(__init__)
        4    0.000    0.000    0.008    0.002 rnn.py:1(<module>)
        1    0.000    0.000    0.000    0.000 padding.py:220(ReflectionPad2d)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 hidapi.py:1(<module>)
        4    0.000    0.000    0.112    0.028 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rrule.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method posix.access}
        1    0.000    0.000    0.014    0.014 colors.py:1(<module>)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
       29    0.000    0.000    0.000    0.000 __init__.py:308(_reduction_identity)
       45    0.000    0.000    0.000    0.000 linecache.py:52(checkcache)
        3    0.000    0.000    0.000    0.000 dll.py:314(_get_version_tuple)
        2    0.000    0.000    0.028    0.014 resources.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:459(_TemporaryFileWrapper)
       21    0.000    0.000    0.000    0.000 copyreg.py:109(_slotnames)
        1    0.000    0.000    0.000    0.000 remote_device.py:6(_remote_device)
       78    0.000    0.000    0.000    0.000 util.py:113(set_)
       51    0.000    0.000    0.000    0.000 {method 'double' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    3.305    3.305 learning_agent.py:29(__init__)
        1    0.000    0.000    0.000    0.000 profiler_legacy.py:17(profile)
       65    0.000    0.000    0.001    0.000 pathlib.py:957(__new__)
        1    0.000    0.000    0.000    0.000 transforms.py:451(ReshapeTransform)
       44    0.000    0.000    0.000    0.000 registration.py:379(_check_spec_register)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      263    0.000    0.000    0.000    0.000 core.py:3767(<genexpr>)
       80    0.000    0.000    0.000    0.000 _sources.py:47(remove_prefix)
       91    0.000    0.000    0.000    0.000 core.py:2384(__init__)
      222    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       98    0.000    0.000    0.000    0.000 pathlib.py:600(_from_parsed_parts)
       53    0.000    0.000    0.001    0.000 pathlib.py:1129(read_text)
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
       34    0.000    0.000    0.000    0.000 posixpath.py:229(expanduser)
      139    0.000    0.000    0.000    0.000 core.py:1964(__eq__)
        2    0.000    0.000    0.003    0.001 _internal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _text_helpers.py:1(<module>)
       51    0.000    0.000    0.000    0.000 typing.py:1107(__mro_entries__)
        3    0.000    0.000    0.004    0.001 util.py:1(<module>)
       82    0.000    0.000    0.003    0.000 linecache.py:36(getlines)
       53    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
       13    0.000    0.000    0.000    0.000 deprecation.py:457(<listcomp>)
        1    0.000    0.000    0.000    0.000 dataloader.py:576(_MultiProcessingDataLoaderIter)
       30    0.000    0.000    0.000    0.000 rcsetup.py:64(<dictcomp>)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.031    0.031 _jit_internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       33    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
       53    0.000    0.000    0.000    0.000 _functools.py:89(pass_none)
       48    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
       69    0.000    0.000    0.000    0.000 __init__.py:291(<genexpr>)
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
       13    0.000    0.000    0.001    0.000 tempfile.py:243(_mkstemp_inner)
       10    0.000    0.000    0.002    0.000 parameter.py:28(__deepcopy__)
      451    0.000    0.000    0.000    0.000 typing.py:1737(cast)
       11    0.000    0.000    0.000    0.000 __init__.py:242(<listcomp>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.066    0.066 _axes.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
        8    0.000    0.000    0.000    0.000 {method 'new_full' of 'torch._C._TensorBase' objects}
       10    0.000    0.000    0.000    0.000 deprecation.py:316(delete_parameter)
       83    0.000    0.000    0.000    0.000 _collections_abc.py:983(clear)
        2    0.000    0.000    0.014    0.007 overrides.py:1(<module>)
       26    0.000    0.000    0.022    0.001 _jit_internal.py:744(_check_overload_body)
        2    0.000    0.000    0.000    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
       48    0.000    0.000    0.002    0.000 ast.py:33(parse)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
       49    0.000    0.000    0.000    0.000 re.py:269(escape)
        2    0.000    0.000    0.014    0.007 image.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rnn.py:907(GRUCell)
    26/14    0.000    0.000    0.002    0.000 core.py:4287(parseImpl)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
        1    0.000    0.000    0.000    0.000 geo.py:15(GeoAxes)
       44    0.000    0.000    0.000    0.000 results.py:547(copy)
      407    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
       65    0.000    0.000    0.000    0.000 _collections_abc.py:821(get)
       55    0.000    0.000    0.000    0.000 forward_ad.py:77(unpack_dual)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
      138    0.000    0.000    0.000    0.000 __init__.py:259(__iter__)
       53    0.000    0.000    0.003    0.000 __init__.py:629(entry_points)
        1    0.000    0.000    0.002    0.002 _comparison.py:1(<module>)
        2    0.000    0.000    0.000    0.000 mouse.py:1(<module>)
       67    0.000    0.000    0.000    0.000 results.py:204(__getitem__)
      127    0.000    0.000    0.001    0.000 __init__.py:389(<genexpr>)
       17    0.000    0.000    0.000    0.000 {method 'max' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
       83    0.000    0.000    0.000    0.000 weakref.py:496(popitem)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       52    0.000    0.000    0.001    0.000 subprocess.py:1204(wait)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
       52    0.000    0.000    0.000    0.000 package_importer.py:621(patched_getfile)
       32    0.000    0.000    0.000    0.000 module.py:1501(_named_members)
       17    0.000    0.000    0.001    0.000 typing.py:2249(<dictcomp>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       14    0.000    0.000    0.000    0.000 random.py:519(<listcomp>)
      222    0.000    0.000    0.000    0.000 transforms.py:1335(<genexpr>)
        1    0.000    0.000    0.000    0.000 shape.py:1(<module>)
    38/18    0.000    0.000    0.002    0.000 core.py:4566(parseImpl)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
      104    0.000    0.000    0.000    0.000 inspect.py:365(isframe)
       34    0.000    0.000    0.000    0.000 deprecation.py:187(finalize)
      147    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.004    0.004 package_exporter.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cbook.py:1(<module>)
       47    0.000    0.000    0.000    0.000 rcsetup.py:357(validate_fontsize)
       60    0.000    0.000    0.000    0.000 inspect.py:2703(replace)
       20    0.000    0.000    0.000    0.000 {built-in method _has_compatible_shallow_copy_type}
        1    0.000    0.000    0.000    0.000 __init__.py:231(<listcomp>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       37    0.000    0.000    0.000    0.000 {method 'copy' of 'collections.OrderedDict' objects}
      222    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
        3    0.000    0.000    0.001    0.000 error.py:1(<module>)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
      248    0.000    0.000    0.000    0.000 patches.py:2271(<genexpr>)
        1    0.000    0.000    0.056    0.056 patches.py:1(<module>)
       43    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
       18    0.000    0.000    0.001    0.000 core.py:269(_trim_arity)
       20    0.000    0.000    0.001    0.000 core.py:5100(parseImpl)
       19    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
