Actions: [(5,), (6,), (1,), (2,), (4,), (3,), (5, 6), (5, 1), (5, 2), (5, 4), (5, 3), (6, 1), (6, 2), (6, 4), (6, 3), (1, 2), (1, 4), (1, 3), (2, 4), (2, 3), (4, 3)]
Episode 0 of 40000
         2505781 function calls (2451342 primitive calls) in 20.422 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    89602    0.011    0.000    0.011    0.000 {method 'getrandbits' of '_random.Random' objects}
    56142    0.011    0.000    0.011    0.000 {built-in method builtins.min}
     2731    0.010    0.000    1.146    0.000 model.py:40(forward)
    21251    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
     3695    0.010    0.000    0.021    0.000 random.py:292(randrange)
22539/22530    0.010    0.000    0.012    0.000 {method 'join' of 'str' objects}
      905    0.010    0.000    0.032    0.000 lr_scheduler.py:119(step)
    61234    0.010    0.000    0.010    0.000 {method 'add' of 'set' objects}
    77937    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
 1633/285    0.009    0.000    0.019    0.000 sre_compile.py:87(_compile)
     3714    0.009    0.000    0.009    0.000 CustomGym.py:83(<listcomp>)
     1026    0.009    0.000    0.084    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     1808    0.009    0.000    0.009    0.000 {built-in method torch._ops.profiler._record_function_exit}
      904    0.009    0.000    4.572    0.005 learning_agent.py:147(update_Q_online)
     5108    0.008    0.000    0.009    0.000 {built-in method __new__ of type object at 0x55ea9b2425e0}
     3714    0.008    0.000    0.008    0.000 CustomGym.py:149(_calculate_reward)
     6208    0.008    0.000    0.015    0.000 inspect.py:2637(__init__)
     2348    0.008    0.000    0.009    0.000 grad_mode.py:121(__init__)
      904    0.008    0.000    0.831    0.001 optimizer.py:83(wrapper)
       58    0.008    0.000    0.015    0.000 enum.py:180(__new__)
        1    0.008    0.008    0.050    0.050 CustomGym.py:14(__init__)
     4636    0.008    0.000    0.010    0.000 grad_mode.py:215(__init__)
        1    0.008    0.008    0.008    0.008 CustomGym.py:131(reset)
     2713    0.008    0.000    0.008    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
     7099    0.007    0.000    0.015    0.000 typing.py:986(__setattr__)
     3716    0.007    0.000    0.041    0.000 KirbyGame.py:19(<lambda>)
      877    0.007    0.000    0.179    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       10    0.007    0.001    0.007    0.001 {built-in method torch._C._jit_get_operation}
     3267    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap>:100(acquire)
    10345    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
     7315    0.007    0.000    0.109    0.000 inspect.py:725(getdoc)
    62541    0.007    0.000    0.007    0.000 {method 'bit_length' of 'int' objects}
     7147    0.007    0.000    0.086    0.000 re.py:288(_compile)
     1754    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     3267    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      407    0.007    0.000    0.016    0.000 module.py:1346(_load_from_state_dict)
      694    0.007    0.000    0.019    0.000 inspect.py:2280(_signature_from_function)
     7654    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     7654    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      939    0.006    0.000    0.009    0.000 inspect.py:2920(__init__)
      129    0.006    0.000    2.438    0.019 __init__.py:1(<module>)
     3714    0.006    0.000    0.006    0.000 KirbyGame.py:99(_handle_position)
      904    0.006    0.000    0.013    0.000 functional.py:46(broadcast_tensors)
     3713    0.006    0.000    0.006    0.000 metrics.py:41(log_step)
     1572    0.006    0.000    0.011    0.000 typing.py:146(_type_check)
        1    0.006    0.006    0.006    0.006 {built-in method torch._C._cuda_init}
      904    0.006    0.000    0.836    0.001 __init__.py:85(backward)
     1808    0.006    0.000    0.024    0.000 profiler.py:435(__enter__)
      998    0.006    0.000    0.009    0.000 functools.py:35(update_wrapper)
      904    0.006    0.000    0.842    0.001 _tensor.py:307(backward)
